plant_id,category,plant_cn,scientific_name,commons_title,source_page,original_url,author,license,license_url,needs_attribution,source,description,derivative_note,original_width,original_height,file
2,蔬菜,生菜,Lactuca sativa,File:Lactuca sativa 'Ashbrook'.jpg,https://commons.wikimedia.org/wiki/File:Lactuca_sativa_'Ashbrook'.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Lactuca_sativa_%27Ashbrook%27.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,DeFacto,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Lactuca sativa 'Ashbrook' growing in an English garden,,2693,2693,vegetable/2_lactuca-sativa.jpg
3,草本,罗勒,Ocimum basilicum,File:BasilikumGenovesergroßblättriger.jpg,https://commons.wikimedia.org/wiki/File:BasilikumGenovesergroßblättriger.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/BasilikumGenovesergro%C3%9Fbl%C3%A4ttriger.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Goldlocki,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,of my own work,Basilikum großblättriger Genoveser,,2812,2431,herbaceous/3_ocimum-basilicum.jpg
4,蔬菜,韭菜,Allium tuberosum,File:Allium tuberosum Czosnek bulwiasty 2021-09-18 02.jpg,https://commons.wikimedia.org/wiki/File:Allium_tuberosum_Czosnek_bulwiasty_2021-09-18_02.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Allium_tuberosum_Czosnek_bulwiasty_2021-09-18_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Agnieszka Kwiecień, Nova",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Chinese chives ( Allium tuberosum ) in flower, plants cultivated in Wrocław University Botanical Garden, Wrocław, Poland.",,3182,2386,vegetable/4_allium-tuberosum.jpg
5,草本,香菜,Coriandrum sativum,File:Starr-080731-9538-Coriandrum sativum-in pot-makawao-Maui (24924671165).jpg,https://commons.wikimedia.org/wiki/File:Starr-080731-9538-Coriandrum_sativum-in_pot-makawao-Maui_(24924671165).jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Starr-080731-9538-Coriandrum_sativum-in_pot-makawao-Maui_%2824924671165%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/,yes,starr-080731-9538-Coriandrum_sativum-in_pot-makawao-Maui,"Coriandrum sativum (Coriander, cilantro) In pot at makawao, Maui, Hawaii. July 31, 2008 #080731-9538 Image Use Policy",,2112,2816,herbaceous/5_coriandrum-sativum.jpg
6,香草,薄荷,Mentha canadensis,File:Mentha canadensis habit.jpg,https://commons.wikimedia.org/wiki/File:Mentha_canadensis_habit.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Mentha_canadensis_habit.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Alex Abair,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,yes,https://www.inaturalist.org/photos/566086169,"Canada mint ( Mentha canadensis ) in Shenandoah National Park, Virginia, USA.",,1536,2048,herb/6_mentha-canadensis.jpg
7,观叶植物,常春藤,Hedera helix,File:Hedera helix 'Buttercup' Urn 2000px.JPG,https://commons.wikimedia.org/wiki/File:Hedera_helix_'Buttercup'_Urn_2000px.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b9/Hedera_helix_%27Buttercup%27_Urn_2000px.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Photo by and (c)2006 Derek Ramsey ( Ram-Man ). Location credit to the Chanticleer Garden.,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Self-photographed,"A picture of Variegated English Ivy — ( Hedera helix en 'Buttercup') plant growing on garden urn. Photo taken at the Chanticleer Garden in Pennsylvania, where it was identified. Camera and Exposure Details: Camera: Nikon D50 Lens: Nikon Nikkor ED AF-S DX 18-55mm f/3.5-5.6G Exposure: 24mm (36mm in 35mm equivalent ) f/6.3 @ 1/125 s.",,2000,2575,foliage/7_hedera-helix.jpg
8,观叶植物,橡皮树,Ficus elastica,File:Ficus elastica - Ботаничка градина Скопје (1).jpg,https://commons.wikimedia.org/wiki/File:Ficus_elastica_-_Ботаничка_градина_Скопје_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Ficus_elastica_-_%D0%91%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%BA%D0%B0_%D0%B3%D1%80%D0%B0%D0%B4%D0%B8%D0%BD%D0%B0_%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5_%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Dandarmkd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Ficus elastica at the Botanical garden of the Institute of Biology, Faculty of Natural Sciences and Mathematics, Skopje, Macedonia.",,4000,6000,foliage/8_ficus-elastica.jpg
9,观叶植物,万年青,Aglaonema modestum,File:Aglaonema modestum Variegatum 1zz.jpg,https://commons.wikimedia.org/wiki/File:Aglaonema_modestum_Variegatum_1zz.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Aglaonema_modestum_Variegatum_1zz.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Photo by David J. Stang,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,source: David Stang. First published at ZipcodeZoo.com,Location taken: United States Botanic Garden. Names: Aglaonema modestum 'Variegatum' Schott. ex Engl. Classification: Plantae > Angiosperms > Monocots > Alismatales > Araceae > Aglaonemateae > Aglaonema > Aglaonema modestum 'Variegatum' .,,1000,667,foliage/9_aglaonema-modestum.jpg
10,蔬菜,小香葱,Allium fistulosum,File:Starr-030418-0102-Allium fistulosum-in pot-Makawao-Maui (24262845769).jpg,https://commons.wikimedia.org/wiki/File:Starr-030418-0102-Allium_fistulosum-in_pot-Makawao-Maui_(24262845769).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Starr-030418-0102-Allium_fistulosum-in_pot-Makawao-Maui_%2824262845769%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/,yes,starr-030418-0102-Allium_fistulosum-in_pot-Makawao-Maui,"Allium fistulosum (Green onion, bunching onion) In pot at Makawao, Maui, Hawaii. April 18, 2003 >#030418-0102 Image Use Policy",,1200,1600,vegetable/10_allium-fistulosum.jpg
12,蔬菜,矮生辣椒,Capsicum annuum var. grossum,File:Starr-081031-0373-Capsicum annuum-bell pepper small plants-Makawao-Maui (24631172550).jpg,https://commons.wikimedia.org/wiki/File:Starr-081031-0373-Capsicum_annuum-bell_pepper_small_plants-Makawao-Maui_(24631172550).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Starr-081031-0373-Capsicum_annuum-bell_pepper_small_plants-Makawao-Maui_%2824631172550%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/,yes,starr-081031-0373-Capsicum_annuum-bell_pepper_small_plants-Makawao-Maui,"Capsicum annuum (Bell pepper, chili pepper) Bell pepper small plants at Makawao, Maui, Hawaii. October 31, 2008 #081031-0373 Image Use Policy Also known as Capsicum frutescens.",,2112,2816,vegetable/12_capsicum-annuum-var-grossum.jpg
13,仙人掌/多肉,芦荟,Aloe vera,File:Aloe vera plant in a container.jpg,https://commons.wikimedia.org/wiki/File:Aloe_vera_plant_in_a_container.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Aloe_vera_plant_in_a_container.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Andikan Efiok Eduok,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Aloe vera plant in a container,,3120,4160,cactus-succulent/13_aloe-vera.jpg
15,观叶植物,幸福树,Radermachera sinica,File:Starr-090803-3610-Radermachera sinica-habit-Wailuku-Maui (24344168553).jpg,https://commons.wikimedia.org/wiki/File:Starr-090803-3610-Radermachera_sinica-habit-Wailuku-Maui_(24344168553).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Starr-090803-3610-Radermachera_sinica-habit-Wailuku-Maui_%2824344168553%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/,yes,starr-090803-3610-Radermachera_sinica-habit-Wailuku-Maui,"Radermachera sinica (China doll) Habit at Wailuku, Maui, Hawaii. August 03, 2009 #090803-3610 Image Use Policy Also known as Stereospermum sinica.",青花植主图：基于来源图片进行构图裁切，以突出植物主体并弱化背景。,2736,3648,foliage/15_radermachera-sinica.jpg
16,观叶植物,金钱树,Zamioculcas zamiifolia,File:Zamioculcas zamiifolia 1.jpg,https://commons.wikimedia.org/wiki/File:Zamioculcas_zamiifolia_1.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Zamioculcas_zamiifolia_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,User:WeFt,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Photo personnelle de User:WeFt,Photo d'un Zamioculcas zamiifolia cultivé. Famille des Araceae,,1536,2048,foliage/16_zamioculcas-zamiifolia.jpg
